day,crime_events,detentions,wrongful_detentions,convictions,share_criminal,share_detained,share_prison
1,5,20,11,0,0.064,0.04,0.0
2,3,18,3,0,0.078,0.074,0.0
3,3,20,11,0,0.128,0.112,0.0
4,9,20,10,0,0.134,0.148,0.0
5,6,19,8,2,0.142,0.182,0.004
6,10,20,12,1,0.16,0.216,0.006
7,11,18,8,0,0.156,0.242,0.006
8,8,19,8,0,0.172,0.27,0.006
9,9,18,10,1,0.178,0.302,0.008
10,8,20,9,3,0.172,0.326,0.014
11,6,18,13,1,0.18,0.36,0.016
12,5,20,7,1,0.17,0.386,0.018
13,2,19,6,0,0.158,0.416,0.018
14,9,20,12,0,0.152,0.45,0.018
15,3,18,9,1,0.14,0.478,0.02
16,11,20,8,1,0.124,0.504,0.022
17,3,18,7,0,0.106,0.53,0.022
18,2,18,9,1,0.096,0.54,0.024
19,1,19,12,2,0.098,0.57,0.028
20,6,19,8,1,0.09,0.594,0.03
21,3,18,7,0,0.08,0.608,0.03
22,3,19,10,0,0.076,0.622,0.03
23,8,20,11,3,0.076,0.648,0.034
24,3,18,13,2,0.072,0.67,0.038
25,1,19,12,0,0.07,0.694,0.036
26,4,16,8,1,0.064,0.702,0.038
27,5,19,8,0,0.07,0.736,0.038
28,1,20,10,2,0.056,0.754,0.042
29,5,20,7,2,0.036,0.768,0.046
30,6,18,11,0,0.036,0.792,0.044
31,5,18,8,0,0.024,0.824,0.042
32,1,16,6,1,0.016,0.848,0.044
33,1,17,10,1,0.01,0.866,0.046
34,0,12,6,4,0.004,0.866,0.054
35,0,11,5,2,0.004,0.874,0.058
36,1,12,7,2,0.002,0.882,0.062
37,0,12,7,1,0.0,0.898,0.064
38,0,5,2,0,0.0,0.884,0.064
39,0,11,6,3,0.004,0.87,0.07
40,1,14,9,1,0.006,0.882,0.07
41,1,12,7,1,0.004,0.892,0.07
42,2,10,5,0,0.0,0.888,0.07
43,0,13,8,3,0.004,0.888,0.076
44,0,16,10,0,0.0,0.9,0.076
45,0,10,8,0,0.0,0.912,0.074
46,0,7,6,2,0.0,0.902,0.078
47,0,10,5,0,0.0,0.91,0.078
48,0,11,9,2,0.0,0.904,0.082
49,0,9,6,1,0.0,0.904,0.082
